"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Accra Polytechnic","Gr/Apoly/GD/0006/2016","NCT","Open Tender","2","Qty:various","Entity Tender Committee","19th August, 2016","30th November, 2016","Ghana Cedi","Gh¢20680.00","Danny praise","","BOX 13677 Kumasi  Ghana","","-"
"Accra Technical University","GR/ATU/GD/00011/2020","NCT","Open Tender","1","Supply of Library Books","Entity Tender Committee","06th August, 2020","06th November, 2020","Ghana Cedi","Gh¢899437.20","GIFFRED VENTURES","","","","-"
"Accra Technical University","GR/ATU/GD/00015/2019","NCT","Open Tender","4","Supply and Installation of 800KVA Transformer","Entity Tender Committee","15th April, 2019","15th May, 2019","Ghana Cedi","Gh¢308853.30","SPARKX SM GHANA LIMITED","","","","-"
"Accra Technical University","GR/ATU/GD/00016A/2020","NCT","Open Tender","","Supply and Installation of computers and Accessories","Entity Tender Committee","21st July, 2020","21st October, 2020","Ghana Cedi","Gh¢1140000.00","MADSON JAPAN ENG (GH) LTD","","","","-"
"Accra Technical University","GR/ATU/GD/00016B/2020","NCT","Open Tender","1","Supply and Installation of Servers and Software","Entity Tender Committee","21st July, 2020","21st September, 2020","Ghana Cedi","Gh¢258895.35","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"Accra Technical University","GR/ATU/GD/00020/2020","NCT","Open Tender","","Supply and installation  of Air Conditioners","Entity Tender Committee","21st July, 2020","21st October, 2020","Ghana Cedi","Gh¢137400.00","CONTRA-FOCUS LIMITED","","","","-"
"Accra Technical University","GR/ATU/GD/00021/2020","NCT","Open Tender","1","Supply of Answer Booklets","Entity Tender Committee","06th July, 2020","05th October, 2020","Ghana Cedi","Gh¢1263393.75","BUCK PRESS LIMITED","","","","-"
"Accra Technical University","GR/ATU/GD/0018/19","NCT","Open Tender","2","Supply and Installation of copy printer and accessories","Entity Tender Committee","15th April, 2019","15th May, 2019","Ghana Cedi","Gh¢204486.78","KEDARD OFFICE EQUIPMENT SERVICES","","","","-"
"Accra Technical University","GR/ATU/GD/002/2021","NCT","Open Tender","1","Supply and Installation of Printers-Qty:50pcs","Entity Tender Committee","13th May, 2021","13th August, 2021","Ghana Cedi","Gh¢277238.10","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"Accra Technical University","GR/ATU/GD/007A/2021","NCT","Open Tender","4","Supply of Salon car","Entity Tender Committee","04th October, 2021","07th January, 2022","Ghana Cedi","Gh¢6360000.00","SILVER STAR AUTO LIMITED","","","","-"
"Accra Technical University","GR/ATU/GD/009A/21","NCT","Open Tender","1","Supply of 4x4 Double Cabin Pick -Ups","Entity Tender Committee","07th October, 2021","07th December, 2021","Ghana Cedi","Gh¢542390.51","TOYOTA GHANA COMPANY LIMITED","","","","-"
"Accra Technical University","GR/ATU/GD/009B/2021","NCT","Open Tender","2","Supply of 4x4 Double Cabin Pick-ups---- Qty:2pcs","Entity Tender Committee","04th October, 2021","07th December, 2021","Ghana Cedi","Gh¢442980.00","KLATAA ENGINEERING SOLUTIONS COMPANY LIMITED","","","","-"
"Accra Technical University","GR/ATU/GD/009C/2021","NCT","Open Tender","3","Supply of Double Cabin Pick-Ups--Qty:2pcs","Entity Tender Committee","04th October, 2021","07th October, 2021","Ghana Cedi","Gh¢361659.20","JAPAN MOTORS TRADING COMPANY LIMITED","","","","-"
"Accra Technical University","GR/ATU/WK/0002/2020","NCT","Open Tender","3","renovation of 3 storey block","Entity Tender Committee","21st July, 2020","21st October, 2020","Ghana Cedi","Gh¢569197.65","AEON COMPLEX LIMITED","","","","-"
"Accra Technical University","GR/ATU/WK/0009/2020","NCT","Open Tender","1","Fabrication and Installation Burglar Proof","Entity Tender Committee","21st July, 2020","21st December, 2020","Ghana Cedi","Gh¢235424.54","ZANGOSE VENTURES LIMITED","","","","-"
"Accra Technical University","GR/ATU/WK/001/2019","NCT","Open Tender","2","Retro-Fitting of Electrical block","Entity Tender Committee","15th April, 2019","15th July, 2019","Ghana Cedi","Gh¢595642.70","PROKO GHANA LIMITED","","","","-"
"Accra Technical University","GR/ATU/WK/0016/21","NCT","Open Tender","","Refurbishment of New student Hostel","Entity Tender Committee","20th July, 2021","20th December, 2021","Ghana Cedi","Gh¢724701.83","AMINAD LIMITED","","","","-"
"Accra Technical University","GR/ATU/WK/003/2021","NCT","Open Tender","1","REFURBISHMENT OF OLD STUDENT HOSTEL","Entity Tender Committee","20th July, 2021","20th December, 2021","Ghana Cedi","Gh¢710153.77","AMINAD LIMITED","","","","-"
"Accra Technical University","GR/ATU/WK/005/2021","NCT","Open Tender","1","Re-Construction of Fence Wall","Entity Tender Committee","17th May, 2021","17th September, 2021","Ghana Cedi","Gh¢232169.30","MASPEJO COMPANY LIMITED","","","","-"
"Accra Technical University","GR/ATU/WK/009/21","NCT","Open Tender","1","Mechanization of Boreholes and Construction of Water farm","Entity Tender Committee","13th August, 2021","20th December, 2021","Ghana Cedi","Gh¢662764.30","ELEX INVESTMENT GHANA LIMITED","","","","-"
"Ada East District Assembly","GR/AEDA/WKS/DDF/16/03","NCT","Open Tender","","Construction of 1No CHPS Compound at Tiekpitikope","Entity Tender Committee","30th November, 2016","30th May, 2017","Ghana Cedi","Gh¢310103.20","M/S Mojaaba enterprise ltd","","","","-"
"Ada East District Assembly","GR/AEDA/WKS/DDF/16/03","NCT","Open Tender","1","Construction of 1No CHPS Compound at Tiekpitikope","Entity Tender Committee","30th November, 2016","30th May, 2017","Ghana Cedi","Gh¢310103.20","M/S Mojaaba Ent. Limited","","","","-"
"Ada East District Assembly","GR/AEDA/WKS/DDF/16/04","NCT","Open Tender","","Construction of 1No. 3_Unit Classroom Block, Office and Store with Ancillary Facilities at Elavanyo","ETC/PPA","30th November, 2016","30th May, 2017","Ghana Cedi","Gh¢252506.10","M/S NEFACON COMPANY LIMITED","","","","-"
"Ada East District Assembly","GR/AEDA/WKS/DDF/16/07","NCT","Open Tender","","Pavement of Kasseh Market Lorry Station","ETC/PPA","30th November, 2016","30th May, 2017","Ghana Cedi","Gh¢249793.50","M/S Jatmun Ventures","","","","-"
"Ada East District Assembly","GR/AEDA/WKS/DDF/16/07","NCT","Open Tender","1","Pavement of Kasseh Market Lorry Station","Entity Tender Committee","30th November, 2016","30th May, 2017","Ghana Cedi","Gh¢242506.10","M/S Jatmun Ventures","","","","-"
"Ada East District Assembly","GR/AEDA/WKS/DDF/16/12","NCT","Open Tender","","Construction of 1No. 3_Unit Classroom Block, Office and Store with Ancillary Facilities at Amlakpo","ETC/PPA","30th November, 2016","30th May, 2017","Ghana Cedi","Gh¢251761.40","M/S BEAYAAGOU ENTERPRISE","","","","-"
"Ada East District Assembly","GR/AEDA/WKS/DDF/16/14","NCT","Open Tender","","Construction of 1No Police Post at Big Ada","ETC/PPA","30th November, 2016","30th May, 2017","Ghana Cedi","Gh¢317332.30","ADOMINA COMPANY LTD","","","","-"
"Adansi South District Assembly","ASDA/G/DACF/02/16","NCT","Open Tender","11","Location: NEW ADUBIASECategory: D3K3 and above","ETC/PPA","29th July, 2016","30th January, 2017","Ghana Cedi","Gh¢222737.03","m/s markgad ventures","","p.o. box 50, new edubiase","","-"
"Adansi South District Assembly","ASDA/G/DACF/02/16","NCT","Open Tender","2","Location: NEW ADUBIASECategory: D3K3 and above","ETC/PPA","29th July, 2016","30th January, 2017","Ghana Cedi","Gh¢226712.96","m/s solkan global llimited","","p.o box 2853","","-"
"Adansi South District Assembly","ASDA/WKS/DACF/01/16","NCT","Open Tender","1","Location: Wuruyie JunctionCategory: D3K3 and above","ETC/PPA","29th July, 2016","30th September, 2016","Ghana Cedi","Gh¢76189.00","m/s peprah yeboah limited","","p.o box 678, sunyani","","-"
"Adansi South District Assembly","ASDA/WKS/DACF/03/16","NCT","Open Tender","3","Location: YAW OWUSUKROMCategory: D3K3 and above","ETC/PPA","29th July, 2016","30th September, 2017","Ghana Cedi","Gh¢237584.55","m/s solkan global llimited","","p.o box 2853","","-"
"Adansi South District Assembly","ASDA/WKS/DACF/04/16","NCT","Open Tender","4","Location: WURUYIECategory: D3K3 and above","ETC/PPA","29th July, 2016","-","Ghana Cedi","Gh¢147457.25","M/S KING KAY COMPANY LIMITED","","P.O. BOX 14958. KANESHIE ACCRA","","-"
"Adansi South District Assembly","ASDA/WKS/DACF/05/16","NCT","Open Tender","5","Location: MENANGCategory: D3K3 and above","ETC/PPA","29th July, 2016","30th January, 2017","Ghana Cedi","Gh¢245504.70","M/S FESSAGE ENTERPRISE","","P.O BOX 6, NEW EDUBIASE","","-"
"Adansi South District Assembly","ASDA/WKS/DACF/06/16","NCT","Open Tender","6","Location: NEW EDUBIASECategory: D3K3 and above","ETC/PPA","29th July, 2016","30th October, 2016","Ghana Cedi","Gh¢132473.52","M/s kwataboat enterprise","","p.o. box 2047, Accra","","-"
"Adansi South District Assembly","ASDA/WKS/DACF/07/16","NCT","Open Tender","9","Location: DISTRICT WIDECategory: D3K3 and above","ETC/PPA","29th July, 2016","-","Ghana Cedi","Gh¢125500.50","M/S JAMONY COMPANY LTD","","p.o. box 3384, kumasi","","-"
"Afadzato South District Assembly","VR/ASDA/WKS/007/19","NCT","Open Tender","1","Construction of 1 no.Lorry Park (Phase 2) at Ve-GolokuatiCompletion Period3 monthsSource of FundDPATTender Security2% of Tender Price","Entity Tender Committee","16th August, 2019","25th November, 2019","Ghana Cedi","Gh¢213968.85","CROWN OF VICTORY COMPANY LTD","","","","-"
"Agogo Presby Womens College of Education","APWCE/GDS/AS/SS/01/20","-","Single Sourced","1","Supply of Computers And Accessorie","ETC/PPA","40 (1)a - Proprietary","19th May, 2020","20th June, 2020","Ghana Cedi","Gh¢662840.42","Meraki Trends Enterprise","","P. O. Box OK 10, Kasoa","0208160896","-"
"Agogo Presby Womens College of Education","APWCE/GDS/AS/SS/01/20","-","Single Sourced","2","Supply of Leather Covered Mattress, Metal Bunked Beds, Office Furniture","ETC/PPA","40 (1)a - Proprietary","19th May, 2020","20th June, 2020","Ghana Cedi","Gh¢1247740.00","ELYSIAN PLUS LIMITED","","","","-"
"Agona West Manucipal Assembly","CR/AWMA/ GDS/011/2020","NCT","Open Tender","1","Supply Of 800 Dual Desks And 50 Hexagonal Table for Schools in the Municipality","Entity Tender Committee","16th August, 2020","16th November, 2020","Ghana Cedi","Gh¢264967.50","Pavic Construction Company Limited","0","P. O. Box AW49","0","-"
"Agona West Manucipal Assembly","CR/AWMA/ GSCSP/ UDG/001/Lot.01/2020","NCT","Open Tender","1","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) toward the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for CONSTRUCTION OF 2.50KM MAHODWE AREA ROADS AND OTHER RELATED ACTIVITIES.The AGONA WEST MUNICIPAL ASSEMBLY, the implementing agency now invites sealed Tenders from eligible Tenderers for the Bitumen Surfacing on Esukontsen Street (0.70km) And Pavement of Agona Swedru Town Hall Forecourt","Regional Tender Review Committee","30th April, 2020","22nd May, 2021","Ghana Cedi","Gh¢2399473.25","Jacmenant Limited","","P. O. Box CT902, Cantonments, Accra","0","-"
"Agona West Manucipal Assembly","CR/AWMA/ GSCSP/ UDG/001/Lot.02/2020","NCT","Open Tender","2","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) toward the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for CONSTRUCTION OF 2.50KM MAHODWE AREA ROADS AND OTHER RELATED ACTIVITIES.The AGONA WEST MUNICIPAL ASSEMBLY, the implementing agency now invites sealed Tenders from eligible Tenderers for the -Bitumen Surfacing on Otabilkrom Link (402m) And Egya Ebusua Street (644m) in Agona West Municipality.","Regional Tender Review Committee","30th April, 2020","22nd May, 2021","Ghana Cedi","Gh¢2430480.83","KASMO COMPANY LIMITED","","","","-"
"Agona West Manucipal Assembly","CR/AWMA/ GSCSP/ UDG/001/Lot.03/2020","NCT","Open Tender","3","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) toward the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for CONSTRUCTION OF 2.50KM MAHODWE AREA ROADS AND OTHER RELATED ACTIVITIES.The AGONA WEST MUNICIPAL ASSEMBLY, the implementing agency now invites sealed Tenders from eligible Tenderers for the -Bitumen Surfacing on 0.70km Selected Roads, Paving of Agona Swedru Taxi Station and Channel Improvement in Agona Swedru.","Regional Tender Review Committee","30th April, 2020","22nd May, 2021","Ghana Cedi","Gh¢2614287.61","BEA-NEWT COMPANY LIMITED","","","","-"
"Agona West Manucipal Assembly","CR/AWMA/ WK/010/2020","NCT","Open Tender","","The Agona West Municipal Assembly intends to apply a portion of the Member of Parliament’s Common Fund budgetary allocation to cover eligible payments for Pipe Culverts within the Municipality.The Agona West Municipal Assembly now invites sealed Tenders from eligible contractors for the execution of the construction of 15No.  Pipe Culverts within the Municipality.","Entity Tender Committee","30th April, 2020","30th August, 2020","Ghana Cedi","Gh¢539846.05","Zartvic Ghana Limited","0","P. O. Box 401, Darkuman","0","-"
"Agona West Manucipal Assembly","CR/AWMA/ WK/013/2020","NCT","Open Tender","1","The Agona West Municipal Assembly intends to apply a portion of the Member of Parliament’s Common Fund budgetary allocation to cover eligible payment for the works contracts whose requirements are indicated in the below:Construction of 8No. Pipe Culverts and Grading of 3km Road within the Municipality","Entity Tender Committee","16th October, 2020","16th January, 2021","Ghana Cedi","Gh¢394832.55","Zartvic Ghana Limited","0","P. O. Box 401, Darkuman","0","-"
"Agona West Manucipal Assembly","CR/AWMA/GSCSP/UDG/WKS/NCT/002/LOT 1/2020","NCT","Open Tender","1","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) towards the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for below project:Bitumen Surfacing of Greenland Street in the Agona West Municipal PH.I (Km 0.00 - 0.70)","Regional Tender Review Committee","14th May, 2021","14th March, 2022","Ghana Cedi","Gh¢2284693.65","Johnson Aggrey Construction Limited","0","0","0","-"
"Agona West Manucipal Assembly","CR/AWMA/GSCSP/UDG/WKS/NCT/002/LOT 2/2020","NCT","Open Tender","2","Bitumen Surfacing of Greenland Street in the Agona West Municipal PH.II (KM 0.70 - 1.40)","Regional Tender Review Committee","14th May, 2021","14th March, 2022","Ghana Cedi","Gh¢2257557.02","Ga-Wayem Construction Limited","0","0","0","-"
"Agona West Manucipal Assembly","CR/AWMA/GSCSP/UDG/WKS/NCT/002/LOT 3/2020","NCT","Open Tender","3","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) towards the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for Bitumen Surfacing of Selected Roads in the Agona West Municipal Assembly.Bitumen Surfacing Of Falcon Street & Eduful Street in the Agona West Municipal (0.350km)","Regional Tender Review Committee","14th May, 2021","14th January, 2022","Ghana Cedi","Gh¢1157206.37","Start Water Company Limited","0","0","0","-"
"Agona West Manucipal Assembly","CR/AWMA/WKS/003/2020","NCT","Open Tender","1","The Agona West Municipal Assembly of the Republic of Ghana has been allocated funds as part of its District Assemblies Common Fund – Resource Factor Grant (DACF-RFG) budgetary allocations and intends to apply part of these funds to cover eligible payments for the :Construction of 3-Unit Classroom Block with furniture for Girls’ Model School at Agona Swedru","Entity Tender Committee","17th December, 2020","17th May, 2021","Ghana Cedi","Gh¢349459.74","ANOCO LIMITED","","","","-"
"Agona West Manucipal Assembly","CR/AWMA/WKS/014/2020","NCT","Open Tender","1","The Agona West Municipal Assembly of the Republic of Ghana has been allocated funds as part of its District Assemblies Common Fund – Resource Factor Grant (DACF-RFG) budgetary allocations and intends to apply part of these funds to cover eligible payments for below project:Construction of 5No. 1.2m Pipe Culverts  within the Municipality","Entity Tender Committee","17th December, 2020","13th May, 2021","Ghana Cedi","Gh¢250563.60","Pavic Construction Company Limited","0","P. O. Box AW49","0","-"
"Agona West Manucipal Assembly","CR/AWMA/WKS/015/2020","NCT","Open Tender","1","The Agona West Municipal Assembly of the Republic of Ghana has been allocated funds as part of its District Assemblies Common Fund – Resource Factor Grant (DACF-RFG) budgetary allocations and intends to apply part of these funds to cover eligible payments for below Project:Construction of 1No 3-Bedroom Semi-Detached Apartment for Medical Doctors at Agona Swedru","Entity Tender Committee","17th December, 2020","17th July, 2021","Ghana Cedi","Gh¢539922.60","ANOCO LIMITED","","","","-"
"Agortime-Ziope District Assembly","VR/AZDA/NCT/GDS/009/22","NCT","Open Tender","1","The Agortime-Ziope District Assembly intends applying part of its budgetary allocation for the underlisted funding source to cover eligible payments under the contract for the procurement of -Dual Desks - Qty 220","Entity Tender Committee","25th October, 2022","25th November, 2022","Ghana Cedi","Gh¢109968.15","D'Conia Ventures","0","0","0","-"
"Akatsi College of Education","","-","Open Tender","1","Supply and Delivery of Computers and other Office Equipment","HEAD OF ENTITY","21st February, 2017","28th March, 2017","Ghana Cedi","Gh¢65455.00","Novelsit","","Novelsit P.O. BOX Aflao VR","","-"
"Akatsi College of Education","","-","Open Tender","1","Supply and Delivery of Electrical Materials","HEAD OF ENTITY","21st February, 2017","08th March, 2017","Ghana Cedi","Gh¢66745.87","Bass Consolidated Limited","","Bass Consolidated Limited P.O. Box HP808 Ho V/R","","-"
"Akatsi College of Education","","-","Open Tender","1,2","Supply and Delivery of Stationery","HEAD OF ENTITY","20th March, 2017","01st September, 2017","Ghana Cedi","Gh¢56030.00","E.Ababio Dotts Enterprise","","P.O BOX A666 LABADI-ACCRA","","-"
"Akatsi College of Education","VR/ACE/GD/07/17","NCT","Open Tender","1,2,3","Lot 1BeansMaizeGariLot 2GroundnutPepperSaltLot 3Palm oil","Entity Tender Committee","-","-","Ghana Cedi","Gh¢0.00","","","","","-"
"Akatsi College of Education","VR/ACE/GD/07/17","NCT","Open Tender","1,2,3","Lot 1BeansMaizeGariLot 2GroundnutPepperSaltLot 3Palm oil","Entity Tender Committee","09th March, 2017","01st February, 2017","Ghana Cedi","Gh¢360125.00","TF Enterprise","","P.O BOX 10997 ACCRA","","-"
"Akatsi College of Education","VR/ACE/GD/07/17","NCT","Open Tender","3","Lot 1BeansMaizeGariLot 2GroundnutPepperSaltLot 3Palm oil","Entity Tender Committee","-","-","Ghana Cedi","Gh¢0.00","","","","","-"
