"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","6,7,28,29,58,181","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢449400.00","HABMAY PHARMACY LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","33,49,74,75,149","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢506200.00","HILLS PHARMACEUTICALS LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","38,63","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢68200.00","GB PHARMA (GH) LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","39,106,108,110,107","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢508500.00","SANBAO (GHANA) PHARMACEUTICAL LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","65,70,71,90,92,99,123,156,173","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢1028000.00","M&G PHARMCEUTICALS LTD","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","46,80,155,166","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢146000.00","UNICHEM GHANA LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","81","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","20th September, 2020","30th October, 2020","Ghana Cedi","Gh¢10196.00","EAST CANTONMENTS PHARMACY LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","16","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢300000.00","WORLDWIDE HEALTHCARE LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","93,94","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢1160000.00","ROWENA HEALTHCARE LTD","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","95","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢250000.00","PALB PHARMACEUTICALS LIMITED","","","","-"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/GD/0003/2012","NCT","Open Tender","3","Supply of Computer Hardware","Entity Tender Committee","24th July, 2012","18th September, 2012","Ghana Cedi","Gh¢75929.00","Office Plus","","P. O. Box 16353 KIA-Accra","","-"
"University For Development Studies","NR/UDS/GD/0010/2013","NCT","Open Tender","1","","Entity Tender Committee","09th October, 2013","30th December, 2013","Ghana Cedi","Gh¢50076.00","GIFFRED VENTURES","","P. O. BOX MB 516, ACCRA","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","96","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢336000.00","MEGA LIFESCIENCES GHANA LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","162,161,171","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢10350.00","OSONS CHEMIST LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","104,116,117","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢822400.00","GOKALS LABOREX LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","160","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢3360.00","BEDITA  PHARMACY LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","182","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢320000.00","SPINTEX CHEMISTS LTD","","","","-"
"University For Development Studies","NR/UDS/GD/0014/2013","NCT","Open Tender","1","","Entity Tender Committee","09th October, 2013","30th December, 2013","Ghana Cedi","Gh¢61621.50","TOTAL SUPPLIES AND SERVUICES LTD","","P. O. BOX 1700, TAMALE","","-"
"Ministry of Communications and Digitalisation","eTransform/RComp/2.1.2","ICT","Open Tender","1","Digitization Service and its implementation in Current Operational and/or Content Management System for selected MDAs  This Invitation for Bids (IFB) follows the General Procurement Notice (GPN) for this project that appeared in UNDB issue No WB5553-11/14 of November 4, 2014. 2. The Government of Ghana has received a credit from the International Development Association toward the cost of the eTransform Project, and it intends to apply part of the proceeds of this credit to payments under the agreement(s) resulting from this IFB: Digitization Service and its implementation in Current Operational and/or Content Management System for Births and Deaths Registry, Ghana Immigration Service, Registrar Generalâ€™s Department, Judicial Service of Ghana and Office of the Attorney General and Ministry of Justice.  The scope of works will include; â€¢ Conducting a digitization service in accordance with the methodological, organizational and technical aspects of the Public Records Digitization Program; â€¢ Training and transferring the required knowledge to beneficiary agency staff to allow them to maintain and to make further improvements to digitization service;  â€¢ Design and implement an Enterprise Content Management (ECM) system to capture the business processes of all Divisions and Units in the Agency related to digital asset management, document imaging, workflow systems and records management systems; â€¢ Training and transferring the required knowledge to beneficiary agency staff to allow them to maintain and to make further improvements to the ECM. 3. The Ministry of Communications will serve as the implementing agency for the project, and now invites sealed bids from eligible Bidders for the Digitization Service and its implementation in Current Operational and/or Content Management System for the Agencies in Lots as follows:  Lot 1: Registrar Generalâ€™s Department (eTP/RComp/2.1.2-L1) Lot 2: Birth and Death Registry (eTP/RComp/2.1.2-L2) Lot 3: Ghana Immigration Service (eTP/RComp/2.1.2-L3) Lot 4: Judicial Service of Ghana (eTP/RComp/2.1.2-L4) Lot 5: Office of Attorney General and Ministry of Justice (eTP/RComp/2.1.2-L5)  Bidders are expected to demonstrate the following core competencies: a) Competence in digitization and document management with workflow systems. b) Competence in Change Management strategy to drive system use after implementation.  Bidders may bid for one or more Lots. Bids will be evaluated and contract awarded on per Lot (agency) basis.  Bids which do not offer all the items under a selected agency shall be rejected as non-responsive. Bidders may compete for one, two, three or all agencies.  4. Bidding will be conducted using the International Competitive Bidding (ICB) procedures specified in the World Bankâ€™s Guidelines: Procurement of Goods, Works, and Non-Consulting Services under IBRD Loans and IDA Credits & Grants January 2011 Revised July 2014 and is open to all Bidders eligible as defined in these Guidelines that meet the following minimum qualification criteria for all Lots (agencies).  a) Experience   The Bidder must have   (i) Successfully completed at least three (3) contracts with similar functional/technical characteristics and of a comparable scale, each of which were of at least US$0.5 million in value, during the past five (5) years for the Digitization of public records. In the case of a Joint Venture, the Lead Partner shall have led at least one of the two above contracts.  (ii) Successfully implemented Enterprise Content Management System for a government agency in last 5 years.   b) Technical Capacity: (i) The Bidder shall have experience in scanning, inputting into an ECMS with appropriate indexing and capable of integration with 3rd party application as per requirements.  (ii) The Bidder must demonstrate it can provide data capacity for temporary holding the digitized documents until the Employer can put in place the ECMS system for data to be transferred.   c) Financial Capacity   (i) Minimum average annual turnover of USD 0.5 million, cumulative per each Ministry, Department, Agency (MDA), calculated as total certified payments received for contracts in progress or completed within the last five (5) years (2012 -2017). Bidders are required to submit audited balance sheets and income statements for the last five (5) years as part of their financial statements  (ii). Demonstrate evidence of the firmâ€™s liquidity in the form of cash flow, liquid assets and/or credit lines net of other ongoing commitments at the minimum required amount of USD 1 million.  (iii)   Each joint venture member or sub-contractor undertaking a significant portion of work under this contract (20% or greater of the estimated value of the contract) must be financially stable, with gross revenue base of at least US$1 million annually over the last three (3) years, and liquid assets of at least US $ 0.5million. Bidders are advised to provide quotes for the scanning in the following volumes of documents using Cost Table C for that purpose:  One to two million documents; From more than Two million to Five million documents; From more than Five million to Seven million documents; From more than Seven million to Ten million documents; and From more than Ten million to Fifteen million documents","Central Tender Review Committee","02nd April, 2019","02nd September, 2019","USA Dollar","$1135872.50","Intelligent Card Production System & Societe Kertys Maroc SARL","info@icpsltd.com","P. O. Box KN 785, Kaneshie-Accra","030 2815913","-"
"University For Development Studies","NR/UDS/GD/0013/2013","NCT","Open Tender","1","","Entity Tender Committee","09th October, 2013","30th December, 2013","Ghana Cedi","Gh¢80500.00","TOTAL SUPPLIES AND SERVUICES LTD","","P. O. BOX 1700, TAMALE","","-"
"Ministry of Communications and Digitalisation","eTransform/RComp/2.1.2","ICT","Open Tender","2","Digitization Service and its implementation in Current Operational and/or Content Management System for selected MDAs  This Invitation for Bids (IFB) follows the General Procurement Notice (GPN) for this project that appeared in UNDB issue No WB5553-11/14 of November 4, 2014. 2. The Government of Ghana has received a credit from the International Development Association toward the cost of the eTransform Project, and it intends to apply part of the proceeds of this credit to payments under the agreement(s) resulting from this IFB: Digitization Service and its implementation in Current Operational and/or Content Management System for Births and Deaths Registry, Ghana Immigration Service, Registrar Generalâ€™s Department, Judicial Service of Ghana and Office of the Attorney General and Ministry of Justice.  The scope of works will include; â€¢ Conducting a digitization service in accordance with the methodological, organizational and technical aspects of the Public Records Digitization Program; â€¢ Training and transferring the required knowledge to beneficiary agency staff to allow them to maintain and to make further improvements to digitization service;  â€¢ Design and implement an Enterprise Content Management (ECM) system to capture the business processes of all Divisions and Units in the Agency related to digital asset management, document imaging, workflow systems and records management systems; â€¢ Training and transferring the required knowledge to beneficiary agency staff to allow them to maintain and to make further improvements to the ECM. 3. The Ministry of Communications will serve as the implementing agency for the project, and now invites sealed bids from eligible Bidders for the Digitization Service and its implementation in Current Operational and/or Content Management System for the Agencies in Lots as follows:  Lot 1: Registrar Generalâ€™s Department (eTP/RComp/2.1.2-L1) Lot 2: Birth and Death Registry (eTP/RComp/2.1.2-L2) Lot 3: Ghana Immigration Service (eTP/RComp/2.1.2-L3) Lot 4: Judicial Service of Ghana (eTP/RComp/2.1.2-L4) Lot 5: Office of Attorney General and Ministry of Justice (eTP/RComp/2.1.2-L5)  Bidders are expected to demonstrate the following core competencies: a) Competence in digitization and document management with workflow systems. b) Competence in Change Management strategy to drive system use after implementation.  Bidders may bid for one or more Lots. Bids will be evaluated and contract awarded on per Lot (agency) basis.  Bids which do not offer all the items under a selected agency shall be rejected as non-responsive. Bidders may compete for one, two, three or all agencies.  4. Bidding will be conducted using the International Competitive Bidding (ICB) procedures specified in the World Bankâ€™s Guidelines: Procurement of Goods, Works, and Non-Consulting Services under IBRD Loans and IDA Credits & Grants January 2011 Revised July 2014 and is open to all Bidders eligible as defined in these Guidelines that meet the following minimum qualification criteria for all Lots (agencies).  a) Experience   The Bidder must have   (i) Successfully completed at least three (3) contracts with similar functional/technical characteristics and of a comparable scale, each of which were of at least US$0.5 million in value, during the past five (5) years for the Digitization of public records. In the case of a Joint Venture, the Lead Partner shall have led at least one of the two above contracts.  (ii) Successfully implemented Enterprise Content Management System for a government agency in last 5 years.   b) Technical Capacity: (i) The Bidder shall have experience in scanning, inputting into an ECMS with appropriate indexing and capable of integration with 3rd party application as per requirements.  (ii) The Bidder must demonstrate it can provide data capacity for temporary holding the digitized documents until the Employer can put in place the ECMS system for data to be transferred.   c) Financial Capacity   (i) Minimum average annual turnover of USD 0.5 million, cumulative per each Ministry, Department, Agency (MDA), calculated as total certified payments received for contracts in progress or completed within the last five (5) years (2012 -2017). Bidders are required to submit audited balance sheets and income statements for the last five (5) years as part of their financial statements  (ii). Demonstrate evidence of the firmâ€™s liquidity in the form of cash flow, liquid assets and/or credit lines net of other ongoing commitments at the minimum required amount of USD 1 million.  (iii)   Each joint venture member or sub-contractor undertaking a significant portion of work under this contract (20% or greater of the estimated value of the contract) must be financially stable, with gross revenue base of at least US$1 million annually over the last three (3) years, and liquid assets of at least US $ 0.5million. Bidders are advised to provide quotes for the scanning in the following volumes of documents using Cost Table C for that purpose:  One to two million documents; From more than Two million to Five million documents; From more than Five million to Seven million documents; From more than Seven million to Ten million documents; and From more than Ten million to Fifteen million documents","Central Tender Review Committee","02nd April, 2019","02nd January, 2020","USA Dollar","$2550368.05","VILT Iberica SLU & Twenty-Third Century System Ghana Limited","info@ttcsghana.com","No. 1 Kunkun Close Mempeasem, East Legon-Accra","030 250 6325","-"
